filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Space conditioning","TJ","1249315.345","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Space conditioning","TJ","1464100.402","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Space conditioning","TJ","1067943.922","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Space conditioning","TJ","1464100.402","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Space conditioning","TJ","1067943.922","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Space conditioning","TJ","1067943.922","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Water heating","TJ","522838.522","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Water heating","TJ","400589.74","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Water heating","TJ","522838.522","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Water heating","TJ","400589.74","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Water heating","TJ","848821.842","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Water heating","TJ","400589.74","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lights","TJ","290497.697","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lights","TJ","290497.697","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lights","TJ","290497.697","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lights","TJ","318390.002","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lights","TJ","290497.697","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Lights","TJ","290497.697","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Cooking","TJ","328408.262","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Cooking","TJ","343145.948","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Cooking","TJ","328408.262","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Cooking","TJ","442392.501","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Cooking","TJ","343145.948","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Cooking","TJ","328408.262","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other","TJ","5214894.325","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other","TJ","5214894.325","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other","TJ","7101112.609","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other","TJ","5214894.325","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other","TJ","5443011.989","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Final energy use","Final energy use - Other","TJ","5443011.989","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","TJ","111865.693","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","TJ","104960.501","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","TJ","123113.353","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","TJ","123113.353","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","TJ","111865.693","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","TJ","123113.353","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","TJ","28031.425","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","TJ","28031.425","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","TJ","26534.676","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","TJ","26534.676","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","TJ","28031.425","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","TJ","40761.101","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Gas Furnace","TJ","11892.4","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Gas Furnace","TJ","1244.959","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Gas Furnace","TJ","11892.4","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Gas Furnace","TJ","1244.959","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Gas Furnace","TJ","1195.256","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Gas Furnace","TJ","1244.959","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Fossil","TJ","0","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Fossil","TJ","455.263","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Fossil","TJ","0","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Fossil","TJ","0","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Fossil","TJ","0","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Fossil","TJ","455.263","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Heat Pump","TJ","15845.666","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Heat Pump","TJ","16941.688","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Heat Pump","TJ","16941.688","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Heat Pump","TJ","16941.688","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Heat Pump","TJ","15845.666","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Heat Pump","TJ","109.683","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Resistance","TJ","1066.267","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Resistance","TJ","10386.653","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Resistance","TJ","10386.653","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Resistance","TJ","9504.402","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Resistance","TJ","10386.653","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Electric Resistance","TJ","10386.653","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Gas Furnace","TJ","25980.278","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Gas Furnace","TJ","1970.692","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Gas Furnace","TJ","0","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Gas Furnace","TJ","0","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Gas Furnace","TJ","0","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Gas Furnace","TJ","1970.692","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Other","TJ","314.323","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Other","TJ","306.741","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Other","TJ","478.855","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Other","TJ","314.323","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Other","TJ","306.741","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of water heating units","Sales of water heating units - Other","TJ","306.741","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Electric Resistance","TJ","16316.276","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Electric Resistance","TJ","16577.364","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Electric Resistance","TJ","16316.276","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Electric Resistance","TJ","16577.364","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Electric Resistance","TJ","16577.364","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Electric Resistance","TJ","6654.162","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Gas","TJ","2480.8","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Gas","TJ","2480.8","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Gas","TJ","2741.888","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Gas","TJ","2741.888","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Gas","TJ","2480.8","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of cooking units","Sales of cooking units - Gas","TJ","12404.002","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","%","80.78848","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","%","74.20707","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","%","71.44211","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","%","74.20707","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","%","80.78848","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Heat Pump","%","80.78848","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","%","18.39456","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","%","17.60201","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","%","27.74433","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Sales of space heating units","Sales of space heating units - Electric Resistance","%","18.39456","E+RE+","2050","national"
